City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,saint-pierre,-21.3393,55.4781,294.97,68,0,3.6,RE,1715286923
193,kapa'a,22.0752,-159.319,300.14,83,100,5.66,US,1715286907
194,warah,27.4481,67.7978,308.33,20,2,4.75,PK,1715286924
195,kavieng,-2.5744,150.7967,300.62,82,100,1.82,PG,1715286859
196,anadyr,64.75,177.4833,267.43,73,20,3.0,RU,1715286926
197,riyadh,24.6877,46.7219,300.23,19,67,5.86,SA,1715286863
198,bonthe,7.5264,-12.505,301.84,81,51,3.81,SL,1715286927
199,st. john's,47.5649,-52.7093,282.12,75,75,4.12,CA,1715286927
200,camarinas,43.1311,-9.1817,291.44,74,93,2.57,ES,1715286928
201,louisville,38.2542,-85.7594,299.94,62,75,8.23,US,1715286724
202,baise city,23.8997,106.6133,298.34,99,100,1.24,CN,1715286929
203,sovetskiy,61.3614,63.5842,274.76,88,63,3.13,RU,1715286930
204,imperatriz,-5.5264,-47.4917,305.18,58,20,2.57,BR,1715286930
205,ciudad lazaro cardenas,17.9583,-102.2,300.79,60,78,4.43,MX,1715286832
206,wailua homesteads,22.0669,-159.378,299.39,83,100,5.66,US,1715286932
207,egilsstadir,65.2653,-14.3948,282.1,34,0,2.57,IS,1715286932
208,as safirah,36.077,37.3725,295.67,23,18,3.55,SY,1715286933
209,antsiranana,-12.2787,49.2917,297.99,68,15,7.0,MG,1715286933
210,margate,51.3813,1.3862,287.98,79,14,1.34,GB,1715286934
211,nova vicosa,-17.8919,-39.3719,299.22,82,4,2.42,BR,1715286935
212,kokpekty,48.75,82.4,286.14,60,86,1.82,KZ,1715286935
213,constantia,44.1833,28.65,283.54,68,100,5.28,RO,1715286735
214,salinopolis,-0.6136,-47.3561,300.07,87,97,5.3,BR,1715286936
215,waliso,8.5333,37.9833,289.62,88,80,0.95,ET,1715286937
216,papao,-17.75,-149.55,302.97,74,37,5.98,PF,1715286938
217,atafu village,-8.5421,-172.5159,302.44,74,99,2.41,TK,1715286716
218,east london,-33.0153,27.9116,294.14,82,28,0.73,ZA,1715286939
219,ostersund,63.1792,14.6357,276.82,70,75,9.26,SE,1715286939
220,nemuro,43.3236,145.575,277.76,89,73,3.45,JP,1715286940
221,safranbolu,41.2508,32.6942,285.37,91,100,0.91,TR,1715286941
222,broken hill,-31.95,141.4333,284.58,95,11,2.32,AU,1715286941
223,ambon,-3.6954,128.1814,299.75,16,40,1.03,ID,1715286942
224,sechura,-5.5569,-80.8222,299.85,59,100,6.96,PE,1715286942
225,sao joao da barra,-21.6403,-41.0511,300.2,87,26,5.71,BR,1715286854
226,sarupathar,26.1984,93.8094,293.1,87,90,1.09,IN,1715286944
227,praya,14.9215,-23.5087,298.45,69,40,6.69,CV,1715286944
228,lata,40.1629,-8.3327,289.12,69,0,0.29,PT,1715286945
229,island harbour,50.724,-1.2758,288.19,86,74,1.05,GB,1715286945
230,nsanje,-16.92,35.262,293.33,79,4,1.44,MW,1715286946
231,mana,5.6592,-53.7767,299.68,87,100,4.24,GF,1715286947
232,tromso,69.6496,18.957,276.16,87,75,4.12,NO,1715286801
233,acarau,-2.8856,-40.12,300.22,87,98,4.51,BR,1715286652
234,coruripe,-10.1256,-36.1756,298.88,77,14,4.49,BR,1715286949
235,pankshin,9.3333,9.45,298.06,56,78,1.82,NG,1715286950
236,weno,7.4515,151.8468,302.12,79,100,4.63,FM,1715286950
237,rahuri,19.3833,74.65,303.45,45,0,2.46,IN,1715286951
238,ryotsu-minato,38.0833,138.4333,283.54,70,26,2.42,JP,1715286951
239,paracuru,-3.41,-39.0306,302.65,85,99,3.91,BR,1715286952
240,inhambane,-23.865,35.3833,294.19,83,0,1.86,MZ,1715286953
241,avarua,-21.2078,-159.775,301.18,78,40,5.66,CK,1715286661
242,tazovsky,67.4667,78.7,267.73,96,100,6.13,RU,1715286954
243,mbandaka,0.0487,18.2603,296.09,96,99,2.76,CD,1715286954
244,gamarra,8.3228,-73.7427,301.11,88,100,1.13,CO,1715286955
245,bridgewater,44.3835,-64.5155,281.54,94,100,2.06,CA,1715286764
246,harar,9.3094,42.1258,290.02,84,14,1.55,ET,1715286956
247,okhotsk,59.3833,143.3,273.02,96,100,7.17,RU,1715286957
248,marquette,46.5333,-87.6335,286.07,63,4,4.02,US,1715286801
249,grande prairie,55.1667,-118.8027,296.25,21,40,8.75,CA,1715286906
250,labuan,5.2767,115.2417,299.35,94,20,0.0,MY,1715286959
251,xining,36.6167,101.7667,287.2,44,100,5.14,CN,1715286960
252,dakoro,14.5106,6.765,308.73,12,74,2.24,NE,1715286960
253,puerto montt,-41.4698,-72.9447,284.61,71,40,2.06,CL,1715286712
254,port alfred,-33.5906,26.891,288.81,95,0,0.52,ZA,1715286962
255,ataq,14.5377,46.8319,299.01,60,98,3.12,YE,1715286962
